,price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury
0,0.45,2.0,2.0,1,low floor,Relatively New,sector 7,flat,900.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking']",low
1,0.5,2.0,2.0,1,low floor,Old Property,sector 3,flat,650.0,0,0,0,0,0,semifurnished,"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
2,0.4,2.0,2.0,3,high floor,New Property,sohna road,flat,595.0,0,0,0,0,0,unfurnished,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
3,1.47,2.0,2.0,2,low floor,New Property,sector 61,flat,1200.0,1,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
4,0.7,2.0,2.0,3,mid floor,Under Construction,sector 92,flat,1076.0,1,0,0,0,0,unfurnished,[],low
5,0.41,2.0,2.0,3,low floor,New Property,sector 36,flat,654.012,0,0,0,0,0,unfurnished,[],low
6,2.0,3.0,3.0,3,mid floor,New Property,dwarka expressway,flat,1200.0,0,0,0,0,0,unfurnished,[],low
7,1.8,3.0,4.0,3,high floor,New Property,sector 104,flat,2290.0,0,0,0,0,0,unfurnished,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",semi_luxrious
8,1.1,2.0,4.0,3+,low floor,Under Construction,sector 88,flat,1050.0,1,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",semi_luxrious
9,4.75,3.0,3.0,2,high floor,Moderately Old,sector 78,flat,2813.148,0,1,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",semi_luxrious
10,0.96,2.0,2.0,2,low floor,Relatively New,sector 81,flat,1075.0,0,0,0,0,0,unfurnished,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
11,0.29,2.0,2.0,1,low floor,Relatively New,sohna road,flat,519.0,0,0,0,0,0,unfurnished,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
12,1.35,3.0,3.0,3,low floor,Relatively New,sector 79,flat,1945.0,0,0,0,0,0,unfurnished,[],low
13,0.95,2.0,2.0,3+,low floor,Under Construction,sector 33,flat,1108.0,0,0,0,0,0,unfurnished,[],low
14,0.7,2.0,2.0,3,high floor,New Property,sector 90,flat,1040.0,1,0,0,0,0,unfurnished,"['Intercom Facility', 'Lift(s)', 'Park']",low
