price,bedRoom,bathroom,balcony,floor_type,agePossession,sector,type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,features_list,luxury
0.45,2.0,2.0,1,low floor,Relatively New,sector 7,flat,900.0,0,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking']",low
0.5,2.0,2.0,1,low floor,Old Property,sector 3,flat,650.0,0,0,0,0,0,0,"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",normal
0.4,2.0,2.0,3,high floor,New Property,sohna road,flat,595.0,0,0,0,0,0,2,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",normal
1.47,2.0,2.0,2,low floor,New Property,sector 61,flat,1200.0,1,0,0,0,0,2,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",semi_luxrious
0.7,2.0,2.0,3,mid floor,Under Construction,sector 92,flat,1076.0,1,0,0,0,0,2,[],low
0.41,2.0,2.0,3,low floor,New Property,sector 36,flat,654.012,0,0,0,0,0,2,[],low
2.0,3.0,3.0,3,mid floor,New Property,dwarka expressway,flat,1200.0,0,0,0,0,0,2,[],low
1.8,3.0,4.0,3,high floor,New Property,sector 104,flat,2290.0,0,0,0,0,0,2,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']",semi_luxrious
1.1,2.0,4.0,3+,low floor,Under Construction,sector 88,flat,1050.0,1,0,0,0,0,2,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",semi_luxrious
4.75,3.0,3.0,2,high floor,Moderately Old,sector 78,flat,2813.148,0,1,0,0,0,2,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",semi_luxrious
